moves, guesses, result, moves, guesses, result, moves, guesses, result
5, 4, lost, 7, 6, lost, 32, 0, won, 
52, 5, lost, 93, 2, won, 33, 2, won, 
2, 1, lost, 67, 4, lost, 40, 0, won, 
93, 6, lost, 107, 0, won, 18, 0, won, 
117, 3, lost, 83, 1, lost, 28, 0, won, 
10, 6, lost, 134, 0, won, 19, 4, lost, 
18, 4, lost, 2, 1, lost, 32, 3, won, 
6, 5, lost, 104, 0, won, 33, 0, won, 
86, 11, lost, 122, 3, lost, 21, 0, won, 
6, 3, lost, 104, 5, lost, 38, 0, won, 
24, 3, lost, 131, 2, won, 29, 0, won, 
131, 5, lost, 109, 0, won, 9, 4, lost, 
17, 4, lost, 122, 1, won, 36, 0, won, 
2, 1, lost, 2, 1, lost, 28, 2, won, 
102, 14, lost, 159, 3, won, 37, 0, won, 
9, 5, lost, 110, 5, lost, 37, 2, won, 
61, 2, lost, 115, 4, won, 36, 1, won, 
5, 1, lost, 111, 0, won, 28, 1, won, 
128, 2, lost, 20, 9, lost, 42, 0, won, 
2, 1, lost, 115, 3, lost, 43, 0, won, 
121, 1, lost, 98, 4, lost, 7, 6, lost, 
9, 5, lost, 55, 4, lost, 34, 2, won, 
146, 7, lost, 100, 0, won, 26, 4, lost, 
4, 3, lost, 131, 2, won, 28, 2, lost, 
214, 1, lost, 129, 5, won, 32, 3, won, 
276, 9, lost, 114, 2, lost, 39, 0, won, 
2, 1, lost, 5, 4, lost, 29, 2, won, 
6, 5, lost, 118, 4, lost, 2, 1, lost, 
2, 1, lost, 131, 1, won, 33, 0, won, 
2, 1, lost, 81, 4, lost, 19, 1, won, 
227, 8, lost, 101, 2, won, 24, 2, won, 
2, 1, lost, 85, 0, won, 32, 4, lost, 
6, 3, lost, 3, 2, lost, 26, 0, won, 
18, 11, lost, 33, 6, lost, 29, 0, won, 
5, 2, lost, 5, 4, lost, 33, 2, won, 
2, 1, lost, 22, 3, lost, 34, 1, won, 
7, 3, lost, 3, 2, lost, 24, 1, won, 
2, 1, lost, 7, 2, lost, 16, 1, won, 
4, 3, lost, 3, 2, lost, 3, 2, lost, 
15, 2, lost, 2, 1, lost, 42, 2, won, 
3, 2, lost, 127, 0, won, 36, 3, lost, 
25, 5, lost, 2, 1, lost, 17, 0, won, 
7, 1, lost, 2, 1, lost, 2, 1, lost, 
2, 1, lost, 98, 3, lost, 26, 3, lost, 
74, 3, lost, 2, 1, lost, 28, 2, lost, 
7, 6, lost, 5, 4, lost, 38, 5, won, 
6, 3, lost, 136, 7, won, 25, 4, won, 
41, 4, lost, 107, 8, won, 38, 0, won, 
3, 2, lost, 125, 7, won, 29, 0, won, 
266, 6, lost, 77, 5, lost, 16, 1, won, 
124, 4, lost, 97, 3, won, 27, 3, won, 
30, 1, lost, 121, 2, won, 34, 1, lost, 
8, 5, lost, 124, 0, won, 3, 2, lost, 
2, 1, lost, 104, 2, won, 26, 0, won, 
6, 5, lost, 79, 4, lost, 36, 1, won, 
110, 5, lost, 125, 1, won, 26, 3, won, 
170, 5, lost, 6, 4, lost, 6, 5, lost, 
57, 7, lost, 130, 1, won, 2, 1, lost, 
240, 4, lost, 2, 1, lost, 30, 3, won, 
13, 4, lost, 144, 2, won, 28, 0, won, 
2, 1, lost, 135, 3, lost, 5, 4, lost, 
7, 1, lost, 129, 1, won, 32, 2, won, 
3, 2, lost, 77, 2, lost, 23, 1, lost, 
4, 3, lost, 124, 1, won, 31, 4, won, 
2, 1, lost, 16, 5, lost, 34, 0, won, 
2, 1, lost, 2, 1, lost, 33, 1, won, 
6, 5, lost, 42, 5, lost, 2, 1, lost, 
223, 5, lost, 116, 0, won, 27, 0, won, 
25, 4, lost, 45, 1, lost, 28, 0, won, 
172, 4, lost, 4, 3, lost, 24, 3, lost, 
195, 4, lost, 69, 1, lost, 29, 0, won, 
208, 8, lost, 5, 4, lost, 33, 0, won, 
10, 5, lost, 2, 1, lost, 8, 5, lost, 
165, 6, lost, 102, 3, won, 43, 3, won, 
6, 5, lost, 20, 4, lost, 27, 0, won, 
3, 2, lost, 3, 2, lost, 19, 1, won, 
3, 2, lost, 2, 1, lost, 34, 1, won, 
3, 2, lost, 2, 1, lost, 31, 2, won, 
2, 1, lost, 2, 1, lost, 31, 1, won, 
4, 3, lost, 125, 2, won, 2, 1, lost, 
30, 6, lost, 2, 1, lost, 29, 0, won, 
330, 9, lost, 134, 7, won, 26, 1, won, 
177, 12, lost, 3, 2, lost, 37, 0, won, 
3, 2, lost, 71, 5, lost, 28, 1, won, 
8, 6, lost, 31, 3, lost, 29, 4, lost, 
6, 1, lost, 105, 7, won, 19, 2, won, 
42, 8, lost, 116, 1, lost, 19, 3, lost, 
2, 1, lost, 137, 3, won, 33, 2, won, 
3, 2, lost, 34, 3, lost, 25, 4, lost, 
2, 1, lost, 121, 1, won, 27, 2, won, 
2, 1, lost, 92, 3, lost, 4, 1, lost, 
12, 2, lost, 2, 1, lost, 14, 3, lost, 
43, 4, lost, 73, 2, lost, 40, 0, won, 
2, 1, lost, 116, 1, won, 28, 1, won, 
180, 5, lost, 4, 3, lost, 20, 2, lost, 
25, 4, lost, 2, 1, lost, 41, 0, won, 
2, 1, lost, 122, 0, won, 32, 2, won, 
62, 1, lost, 119, 4, won, 22, 1, won, 
11, 10, lost, 123, 0, won, 38, 0, won, 
198, 1, lost, 136, 0, won, 26, 0, won, 
4, 3, lost, 4, 3, lost, 25, 0, won, 
3, 2, lost, 2, 1, lost, 31, 1, won, 
26, 8, lost, 89, 1, lost, 39, 0, won, 
2, 1, lost, 103, 1, lost, 30, 4, won, 
13, 4, lost, 23, 7, lost, 26, 3, won, 
16, 5, lost, 89, 6, lost, 7, 4, lost, 
11, 8, lost, 117, 2, won, 32, 1, won, 
30, 2, lost, 94, 3, lost, 24, 1, won, 
156, 4, lost, 109, 3, lost, 27, 0, won, 
234, 6, lost, 14, 3, lost, 38, 1, won, 
2, 1, lost, 2, 1, lost, 30, 0, won, 
2, 1, lost, 103, 6, won, 38, 7, won, 
27, 4, lost, 139, 2, won, 21, 2, won, 
12, 5, lost, 87, 6, lost, 15, 6, lost, 
159, 3, lost, 8, 3, lost, 19, 3, won, 
2, 1, lost, 3, 2, lost, 23, 1, won, 
2, 1, lost, 14, 8, lost, 19, 1, won, 
5, 4, lost, 107, 2, won, 46, 1, won, 
3, 2, lost, 2, 1, lost, 33, 0, won, 
3, 2, lost, 117, 2, won, 23, 0, won, 
4, 2, lost, 122, 1, won, 25, 1, won, 
